"cell_id","lat","long","proportion_cover","cell_category_all","pcoldq","pwarmq","amt","ts","arid","th","clay"
1291,-26.68333349,151.21666699,1,"land",0.133144517122887,0.455984634788354,-0.651471113709224,-0.039640750983773,0.193415212007188,0.738772891002693,1.38519483230687
1292,-26.68333349,152.05000033,1,"land",0.462187987002346,0.990124996583833,-0.737193401855779,-0.292742614986177,0.695211250214998,1.18008431738797,0.871711286825408
1293,-26.68333349,152.88333367,0.8,"land",1.10203710195635,2.12468475142322,-0.50190265920425,-0.728327369320726,2.0276794055353,1.93583143986832,0.630178349738451
1294,-26.68333349,153.71666701,0.01,"land",2.38535479051707,1.74597597275128,-0.210610483845699,-1.14035684515558,2.89615309987309,-0.910264179662149,-0.86579182486861
1295,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1296,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1297,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1298,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1299,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1300,-27.51666683,113.71666669,0.07,"land",1.24962457766427,-1.00394654762312,-0.205459510488492,-0.46513489190639,-0.424570969613204,-0.191345473744793,-1.25058773323514
1301,-27.51666683,114.55000003,1,"land",0.942968574630059,-0.928211823657881,-0.238820315146922,0.12427674443016,-0.420731109856288,-0.195512302567771,-1.2922976842206
1302,-27.51666683,115.38333337,1,"land",0.335961805982811,-0.869821540237627,-0.10372666240975,0.780041125635316,-0.603473027377639,-0.448381918948362,-1.00757511330646
1303,-27.51666683,116.21666671,1,"land",0.186508221528983,-0.920252054961299,-0.00488319828596256,1.0522565327749,-0.682672321718216,-0.223295726468668,-0.513381989254331
1304,-27.51666683,117.05000005,1,"land",0.161649818200394,-0.827693047388245,-0.0758918888857146,1.16257153081557,-0.671992750656868,-0.30765413159078,-0.552740592861164
1305,-27.51666683,117.88333339,1,"land",-0.0179105430913345,-0.831683552132699,-0.0234274219072102,1.21699028014006,-0.661851090826123,-0.50825224139448,-0.476960758993808
1306,-27.51666683,118.71666673,1,"land",-0.0196213582289737,-0.808012580389595,-0.115969105897024,1.28670806479434,-0.652797477880003,-0.317400647751547,-0.653823134228733
1307,-27.51666683,119.55000007,1,"land",-0.124138376869427,-0.777035648995866,-0.18877033882276,1.3289950075857,-0.643682633016567,-0.525391429354426,-0.623725311792606
1308,-27.51666683,120.38333341,1,"land",-0.206338569742079,-0.733093687130493,-0.143639285720279,1.24744145699004,-0.658095960231543,-0.480855622942493,-0.622718726012812
1309,-27.51666683,121.21666675,1,"land",-0.266395703889256,-0.665156564716777,-0.067176517516528,1.12948392549935,-0.679331028116519,-0.371844826294634,-0.586626944453409
1310,-27.51666683,122.05000009,1,"land",-0.305365767506992,-0.715238764392786,-0.213016879727872,1.04267554175151,-0.680463141485573,-0.400664455456586,-0.764294570857934
1311,-27.51666683,122.88333343,1,"land",-0.327301114776302,-0.811007677592339,-0.253565392363273,0.988362682136399,-0.701463895721621,-0.307155243181953,-1.08168030051798
1312,-27.51666683,123.71666677,1,"land",-0.337723300846597,-0.785598888970293,-0.165995247614242,0.989734742413229,-0.724692862226774,-0.243601683893415,-0.947901175542899
1313,-27.51666683,124.55000011,1,"land",-0.362931573502071,-0.756264433364841,-0.141868329453413,0.977456492665004,-0.744337803465174,-0.479413500214135,-0.920265011255782
1314,-27.51666683,125.38333345,1,"land",-0.399702214246397,-0.731670505549739,-0.140874021605257,0.992418032708311,-0.756242488673759,-0.442863826136874,-1.07499087736842
1315,-27.51666683,126.21666679,1,"land",-0.426635480295904,-0.707283166262733,-0.169902774024297,0.986159725586835,-0.7528885314478,-0.323890285198582,-1.09525131795349
1316,-27.51666683,127.05000013,1,"land",-0.446494922325444,-0.695527115135082,-0.267435334766186,0.937740191541731,-0.74488263210903,-0.289925809702,-1.20550309302489
1317,-27.51666683,127.88333347,1,"land",-0.466121549044852,-0.69505104011623,-0.228206719703982,0.952357026786425,-0.739298632610458,-0.0498646864896206,-1.14950781000295
1318,-27.51666683,128.71666681,1,"land",-0.460223936494984,-0.690824704383014,-0.217487442513274,0.960333901361376,-0.728321722579429,-0.257884527899432,-1.11847662230629
1319,-27.51666683,129.55000015,1,"land",-0.42396054372351,-0.682326932604111,-0.267644899423464,0.929112207902734,-0.699044667686541,-0.18219636998072,-0.851275224207496
1320,-27.51666683,130.38333349,1,"land",-0.396880782924856,-0.698862937924305,-0.305889100247941,0.929598399376856,-0.687478569726667,-0.137319034184842,-0.891430002781302
1321,-27.51666683,131.21666683,1,"land",-0.374044657666267,-0.712276692257561,-0.284837745801966,0.954864134628883,-0.686311430090505,-0.37211341658521,-0.958699413075895
1322,-27.51666683,132.05000017,1,"land",-0.343312619721416,-0.719323349358954,-0.290466310717175,0.93224068557171,-0.691937629469929,-0.241781238590621,-0.870593136058239
1323,-27.51666683,132.88333351,1,"land",-0.356089480572629,-0.734159024404013,-0.195559604125165,0.989038573898384,-0.708211814050183,-0.233536020872917,-0.628758415233938
1324,-27.51666683,133.71666685,1,"land",-0.422879409972756,-0.734895080901532,-0.121563492885294,1.01035079293731,-0.729212165685459,-0.313043243828939,0.406508601217741
