"lat","long","cell_category","proportion_cover","cell_id","amt","arid","ts","pwarmq","pcoldq","th","clay"
NA,NA,"ocean",0.01,240,1.28784057502468,2.2953341430855,-2.4988451907787,2.24567314541271,-0.663287807721635,-0.75133168216356,-1.32768232091315
NA,NA,"ocean",0.01,241,1.33079305594528,1.70404857839404,-2.4654260260781,1.23082389794752,-0.722701281528996,-0.87761640569222,-1.11259164330189
-10.84999985,132.04999915,"land",0.07,242,1.31962566288997,1.38278781890313,-2.41508892491464,2.27685598369885,-0.762717271813411,-0.783093971083966,-0.2553236500238
-10.84999985,132.88333245,"land",0.04,243,1.33276978080997,1.42792157682117,-2.42430792148813,2.26319332743672,-0.74204689604866,-0.754156367521048,-0.55318750055521
NA,NA,"ocean",0,247,1.3240929800893,1.81851765615238,-2.51147003277459,1.49003530260455,-0.343790909280812,-0.747261249185843,-1.57218417164527
NA,NA,"ocean",0,248,1.34003907063221,1.83512431449293,-2.54009084565852,1.43551825260334,-0.302108826923796,-0.69853482393842,-1.53614692102123
-10.84999985,142.04999875,"land",0.22,254,1.20444105457812,2.59885825092782,-2.62853840239399,3.01622256167503,-0.414643631498166,-0.508156971933229,-0.899123361437561
-10.84999985,142.88333205,"land",0.19,255,1.18294681525723,2.66475214824741,-2.63113005729268,3.06059189823103,-0.185234133597512,-0.595960596963221,-0.832405138268899
-11.68333315,130.38333255,"land",0.41,294,1.28022975682267,2.2075007049127,-2.4098625490418,1.98092436151824,-0.709207533003592,-0.560363038915598,-0.949024293835086
-11.68333315,131.21666585,"land",0.48,295,1.28973360518761,1.80334150888749,-2.37278771173611,1.41789565670948,-0.732457015093407,-0.463106069937995,-1.06452755450764
-11.68333315,132.04999915,"land",0.14,296,1.30723794708642,1.3574840194241,-2.38982957302838,1.91784349792163,-0.776880767284556,-0.670333186945659,-0.747550641613732
-11.68333315,132.88333245,"land",0.61,297,1.36131507376841,1.3070782672645,-2.30766521388251,1.76236765305444,-0.80148986667373,-0.620004907841446,-0.217443114091035
-11.68333315,133.71666575,"land",0.35,298,1.35237098996793,1.21950683757092,-2.25761133808271,1.54897362966976,-0.802100929979109,-0.598179150959118,-0.817454723376439
-11.68333315,134.54999905,"land",0.07,299,1.26539374600687,1.12809857488966,-2.17817508298279,2.01527385946094,-0.782885655245144,-0.740223349744695,0.235594543709378
NA,NA,"ocean",0.04,300,1.27392970564339,1.49601820543748,-2.34450923020717,2.67168596288898,-0.723484213449281,-0.722245123823691,-0.86858715316535
NA,NA,"ocean",0.09,301,1.25514114504124,1.67316936054444,-2.39185027283981,2.06167323272465,-0.548508954190444,-0.634045751090666,-1.21843095300236
NA,NA,"ocean",0,302,1.26360195943478,1.77670732248265,-2.40061169236145,1.59102221853313,-0.478982590480839,-0.615619617642324,-1.13966395504494
-11.68333315,142.04999875,"land",0.54,308,1.16101565359543,2.36478746119819,-2.46287084550864,3.0985446923292,-0.578825882210023,-0.466322980072677,-0.084241528852314
-11.68333315,142.88333205,"land",0.54,309,1.08675370470073,2.44978690638059,-2.44303100766021,3.01230081348642,-0.294922279842654,-0.351885967298596,-1.1338719913471
-12.51666645,130.38333255,"land",0.25,348,1.31912214476486,1.55505541496817,-2.26578763026266,1.92492050533603,-0.76601798357919,-0.772534171899394,-0.137020858983887
-12.51666645,131.21666585,"land",0.8,349,1.30922007160929,1.33474319473595,-2.19706636854656,1.53712725203819,-0.793690007509515,-0.655344026785823,0.657281291598647
-12.51666645,132.04999915,"land",0.84,350,1.31464897793584,1.17129524294194,-2.09070063278676,1.42219950933644,-0.788500154347054,-0.645945510509269,0.943902015772577
-12.51666645,132.88333245,"land",1,351,1.3864599319892,1.24714822351512,-2.18266757777369,1.18923227635128,-0.813432168755749,0.588814446061665,0.216836297446918
-12.51666645,133.71666575,"land",1,352,1.24058996619433,1.1676846701884,-2.06337916295016,0.941932801802807,-0.803612518414097,0.888531021495933,-1.44116284255023
-12.51666645,134.54999905,"land",0.99,353,1.24566204510961,1.0171928415123,-1.97056616733268,1.20088845679599,-0.788085648923845,-0.0237656483785706,-0.628620480693298
-12.51666645,135.38333235,"land",0.91,354,1.1952530862166,1.16367796037754,-2.06499194353146,2.10736463923686,-0.736582492349581,-0.285636970674035,-0.11666019496638
-12.51666645,136.21666565,"land",0.8,355,1.18004449898651,1.38595720599783,-2.14846904894204,2.01431470321791,-0.604464638059202,-0.496050967438848,-0.317231747274896
NA,NA,"ocean",0.12,356,1.17277205936366,1.59836746556759,-2.2701763050502,1.7143490386055,-0.402413601462569,-0.587866486732263,-0.932503060364302
NA,NA,"ocean",0,361,1.16612822994704,2.07726258216612,-2.36877180019874,3.35612526536303,-0.810986270984191,-0.918420886607452,-1.31571354514204
-12.51666645,142.04999875,"land",0.89,362,1.15338233681768,2.16739843983128,-2.32040200570212,3.21712399301006,-0.732174278585646,-0.657256838703381,0.951994538815825
-12.51666645,142.88333205,"land",0.92,363,1.03529451229208,2.36534693576557,-2.24323594800901,2.91683208607014,-0.392650207342366,0.154245947261328,-0.131575702779321
-12.51666645,143.71666535,"land",0.06,364,1.06715789520095,2.46064885079966,-2.30684300340087,3.07665624524432,0.117607665719375,-0.351154019600147,0.0996743846717604
NA,NA,"ocean",0,398,1.3898590168123,0.699263353445446,-1.78282730170128,-0.010171704766626,-0.778507169481672,-0.878697593342161,-0.0934705776566374
NA,NA,"ocean",0.06,401,1.21973108665239,0.953146808763821,-1.87963467581841,2.09884927747228,-0.801824855737978,-0.685491892186861,-0.407567438865103
