"spp","model_type"
"All.Andropogoneae",NA
"All.C3",NA
"All.C4",NA
"All.Chloridoideae",NA
"All.Micrairoideae",NA
"All.Paniceae",NA
"Endemic.Andropogoneae",NA
"Endemic.C3",NA
"Endemic.C4",NA
"Endemic.Chloridoideae",NA
"Endemic.Paniceae",NA
"Endemic.species",NA
"height.C4",NA
"height",NA
"Native.Andropogoneae",NA
"Native.Chloridoideae",NA
"Native.Paniceae",NA
"Native.species",NA
