,pcoldq,pwarmq,amt,ts,arid,clay,th
pcoldq,1.00,-0.08,-0.74,-0.22,0.64,-0.07,0.43
pwarmq,-0.08,1.00,0.40,-0.67,0.63,0.05,0.28
amt,-0.74,0.40,1.00,-0.11,-0.27,-0.11,-0.39
ts,-0.22,-0.67,-0.11,1.00,-0.71,0.14,-0.21
arid,0.64,0.63,-0.27,-0.71,1.00,-0.03,0.51
clay,-0.07,0.05,-0.11,0.14,-0.03,1.00,0.03
th,0.43,0.28,-0.39,-0.21,0.51,0.03,1.00
