"AEM","Ancient","C3_AEM","C3_recent","Early","Early_endemic","Early_native","Homegrown_C4s","Mid","Mid_endemic","Mid_native","Recent","lat","long","cell_category","proportion_cover","cell_id","amt","arid","ts","pwarmq","pcoldq","th","clay"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0.01,240,1.28784057502468,2.2953341430855,-2.4988451907787,2.24567314541271,-0.663287807721635,-0.75133168216356,-1.32768232091315
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0.01,241,1.33079305594528,1.70404857839404,-2.4654260260781,1.23082389794752,-0.722701281528996,-0.87761640569222,-1.11259164330189
1.83338116221478,NA,NA,NA,NA,NA,NA,NA,1.83338116221478,NA,NA,3.43369681464228,-10.84999985,132.04999915,"land",0.07,242,1.31962566288997,1.38278781890313,-2.41508892491464,2.27685598369885,-0.762717271813411,-0.783093971083966,-0.2553236500238
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.84999985,132.88333245,"land",0.04,243,1.33276978080997,1.42792157682117,-2.42430792148813,2.26319332743672,-0.74204689604866,-0.754156367521048,-0.55318750055521
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0,247,1.3240929800893,1.81851765615238,-2.51147003277459,1.49003530260455,-0.343790909280812,-0.747261249185843,-1.57218417164527
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0,248,1.34003907063221,1.83512431449293,-2.54009084565852,1.43551825260334,-0.302108826923796,-0.69853482393842,-1.53614692102123
2.80336038090653,NA,1.56087772422143,NA,0.954356887879584,NA,0.596085499243237,2.11950320693984,2.62488599245278,2.13475797332701,1.65249736170138,4.05284526935888,-10.84999985,142.04999875,"land",0.22,254,1.20444105457812,2.59885825092782,-2.62853840239399,3.01622256167503,-0.414643631498166,-0.508156971933229,-0.899123361437561
2.72103224185224,NA,NA,NA,NA,NA,NA,NA,2.17350088923493,NA,NA,3.66032566082656,-10.84999985,142.88333205,"land",0.19,255,1.18294681525723,2.66475214824741,-2.63113005729268,3.06059189823103,-0.185234133597512,-0.595960596963221,-0.832405138268899
1.73360051529703,NA,0,NA,0,NA,0,1.37725361309957,1.5916812273454,1.31399243757491,0,3.57279500679659,-11.68333315,130.38333255,"land",0.41,294,1.28022975682267,2.2075007049127,-2.4098625490418,1.98092436151824,-0.709207533003592,-0.560363038915598,-0.949024293835086
1.9690684889908,NA,NA,NA,NA,NA,NA,1.40781117844768,1.82680484719022,1.37447480168479,0.795252364747352,3.61810817069887,-11.68333315,131.21666585,"land",0.48,295,1.28973360518761,1.80334150888749,-2.37278771173611,1.41789565670948,-0.732457015093407,-0.463106069937995,-1.06452755450764
2.25496922304946,NA,NA,NA,NA,NA,NA,1.9019582438734,2.13924229839113,2.03195679960936,NA,3.95182045184069,-11.68333315,132.04999915,"land",0.14,296,1.30723794708642,1.3574840194241,-2.38982957302838,1.91784349792163,-0.776880767284556,-0.670333186945659,-0.747550641613732
2.98072013639494,NA,NA,NA,NA,NA,NA,2.00821400678947,2.84322188678391,2.64645845158683,1.59736534278292,3.87997491439177,-11.68333315,132.88333245,"land",0.61,297,1.36131507376841,1.3070782672645,-2.30766521388251,1.76236765305444,-0.80148986667373,-0.620004907841446,-0.217443114091035
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.68333315,133.71666575,"land",0.35,298,1.35237098996793,1.21950683757092,-2.25761133808271,1.54897362966976,-0.802100929979109,-0.598179150959118,-0.817454723376439
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.68333315,134.54999905,"land",0.07,299,1.26539374600687,1.12809857488966,-2.17817508298279,2.01527385946094,-0.782885655245144,-0.740223349744695,0.235594543709378
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0.04,300,1.27392970564339,1.49601820543748,-2.34450923020717,2.67168596288898,-0.723484213449281,-0.722245123823691,-0.86858715316535
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0.09,301,1.25514114504124,1.67316936054444,-2.39185027283981,2.06167323272465,-0.548508954190444,-0.634045751090666,-1.21843095300236
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0,302,1.26360195943478,1.77670732248265,-2.40061169236145,1.59102221853313,-0.478982590480839,-0.615619617642324,-1.13966395504494
2.86494000243397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07580711401607,-11.68333315,142.04999875,"land",0.54,308,1.16101565359543,2.36478746119819,-2.46287084550864,3.0985446923292,-0.578825882210023,-0.466322980072677,-0.084241528852314
2.22397473945621,NA,0.879211690378835,NA,0.879211690378835,NA,NA,1.83033896098308,2.1175799229651,NA,NA,3.82818477250338,-11.68333315,142.88333205,"land",0.54,309,1.08675370470073,2.44978690638059,-2.44303100766021,3.01230081348642,-0.294922279842654,-0.351885967298596,-1.1338719913471
2.25873770357655,NA,NA,NA,NA,NA,NA,1.49649317135541,2.14989996266636,1.31908561397637,1.59473029285275,3.64422194548925,-12.51666645,130.38333255,"land",0.25,348,1.31912214476486,1.55505541496817,-2.26578763026266,1.92492050533603,-0.76601798357919,-0.772534171899394,-0.137020858983887
2.61827135406579,NA,1.83242146254548,0.932557660801536,NA,NA,NA,1.80631959110952,2.45375991816758,2.15304046280207,1.15813827277447,3.9394824850704,-12.51666645,131.21666585,"land",0.8,349,1.30922007160929,1.33474319473595,-2.19706636854656,1.53712725203819,-0.793690007509515,-0.655344026785823,0.657281291598647
2.61491102315582,NA,2.00619857221602,1.17526466551058,NA,NA,NA,1.61661207149045,2.30018219155269,2.33910984266683,0.738120549849615,3.69957209120093,-12.51666645,132.04999915,"land",0.84,350,1.31464897793584,1.17129524294194,-2.09070063278676,1.42219950933644,-0.788500154347054,-0.645945510509269,0.943902015772577
3.41358699739316,1.88797831888417,2.39889474403014,0.884593616780549,NA,NA,NA,2.61476460466149,3.09145149597072,2.77121275648261,1.8359358169615,4.1688179428519,-12.51666645,132.88333245,"land",1,351,1.3864599319892,1.24714822351512,-2.18266757777369,1.18923227635128,-0.813432168755749,0.588814446061665,0.216836297446918
